,Season,EpisodeNo,Title,AirDate,Writers,Director,SEID
0,1.0,1.0,"Good News, Bad News","July 5, 1989","Larry David, Jerry Seinfeld",Art Wolff,S01E01
1,1.0,1.0,The Stakeout,"May 31, 1990","Larry David, Jerry Seinfeld",Tom Cherones,S01E01
2,1.0,2.0,The Robbery,"June 7, 1990",Matt Goldman,Tom Cherones,S01E02
3,1.0,3.0,Male Unbonding,"June 14, 1990","Larry David, Jerry Seinfeld",Tom Cherones,S01E03
4,1.0,4.0,The Stock Tip,"June 21, 1990","Larry David, Jerry Seinfeld",Tom Cherones,S01E04
5,2.0,1.0,The Ex-Girlfriend,"January 16, 1991","Larry David, Jerry Seinfeld",Tom Cherones,S02E01
6,2.0,2.0,The Pony Remark,"January 30, 1991","Larry David, Jerry Seinfeld",Tom Cherones,S02E02
7,2.0,3.0,The Jacket,"February 6, 1991","Larry David, Jerry Seinfeld",Tom Cherones,S02E03
8,2.0,4.0,The Phone Message,"February 13, 1991","Larry David, Jerry Seinfeld",Tom Cherones,S02E04
9,2.0,5.0,The Apartment,"April 4, 1991",Peter Mehlman,Tom Cherones,S02E05
10,2.0,6.0,The Statue,"April 11, 1991",Larry David,Tom Cherones,S02E06
11,2.0,7.0,The Revenge,"April 18, 1991",Larry David,Tom Cherones,S02E07
12,2.0,8.0,The Heart Attack,"April 25, 1991",Larry Charles,Tom Cherones,S02E08
13,2.0,9.0,The Deal,"May 2, 1991",Larry Charles,Tom Cherones,S02E09
14,2.0,10.0,The Baby Shower,"May 16, 1991",Larry Charles,Tom Cherones,S02E10
15,2.0,11.0,The Chinese Restaurant,"May 23, 1991","Larry David, Jerry Seinfeld",Tom Cherones,S02E11
16,2.0,12.0,The Busboy,"June 26, 1991","Larry David, Jerry Seinfeld",Tom Cherones,S02E12
17,3.0,1.0,The Note,"September 18, 1991",Larry David,Tom Cherones,S03E01
18,3.0,2.0,The Truth,"September 25, 1991",Elaine Pope,David Steinberg,S03E02
19,3.0,3.0,The Pen,"October 2, 1991",Larry David,Tom Cherones,S03E03
